Date,Forecasted Close
62,173.88017599305107
63,174.1903447974115
64,174.50051360177198
65,174.81068240613243
66,175.1208512104929
67,175.43102001485335
68,175.74118881921382
69,176.0513576235743
70,176.36152642793473
71,176.6716952322952
72,176.98186403665565
73,177.29203284101612
74,177.60220164537657
75,177.91237044973704
76,178.2225392540975
77,178.53270805845796
78,178.84287686281843
79,179.15304566717887
80,179.46321447153935
81,179.77338327589982
82,180.08355208026026
83,180.39372088462073
84,180.70388968898118
85,181.01405849334165
86,181.3242272977021
87,181.63439610206257
88,181.94456490642304
89,182.25473371078348
90,182.56490251514396
91,182.8750713195044
